District,Decadal_growth_population%,Sex_Ratio,Literacy_rate,GDP,GDP_Growth_Rate%,Attending_education_inst%,Hospital_facilities_avail,cropping_intensity%,Unemployment_Ratio,Urban_Bicycle%,Urban_Scooter/car/jeep,Urban_television%,Urban_Internet%,Rural_Bicycle%,Rural_Scooter/car/jeep,Rural_television%,Rural_Internet%,Urban_Using_bank%,Rural_Using_bank%,Rural_Inhouse_toilet,Urban_Inhouse_toilet
Anugul,11.74,943,77.53,10982.35,1.23,67.65886944,208,181,0.2862574879,71.16774931,58.96152103,65.76817662,6.921035026,61.2653004,16.20730412,18.83927319,0.9443676503,70.88072167,43.22455276,16.73738406,64.01363921
Balangir,23.32,987,64.72,6721.89,28.27,65.30017103,284,134,0.285527743,68.58011445,37.76824034,62.09540415,4.437142346,68.53347791,8.066452387,14.38665789,0.335876286,57.80132332,28.07574643,10.10701055,58.13438841
Baleshwar,14.62,957,79.79,8359.93,20.25,68.63956644,361,160,0.2216447399,76.59540209,42.75337687,63.9037481,4.805438769,68.14969842,12.69133623,26.51400598,0.9892040751,66.14902943,45.39821588,22.71663654,67.98282494
Bargarh,10.02,977,74.62,5125.59,21.27,64.26730053,264,153,0.2100987361,73.45343404,36.25650219,65.49210921,3.908660769,73.36105185,11.86454662,24.72006459,0.3155903396,57.73944221,34.48892634,12.31774732,54.15993182
Baudh,18.16,991,71.61,4437.87,15.18,68.08604356,83,176,0.2423216086,70.81105169,32.59803922,60.58377897,2.428698752,71.27345286,6.848187216,10.20350836,0.1317331629,68.1372549,40.30259882,8.991756991,51.29233512
Bhadrak,12.94,981,82.78,1640.93,19.73,70.39814541,238,154,0.287136018,72.41057279,28.85725606,49.04912837,2.954494,57.93297373,10.30814286,25.3432826,0.5809818703,50.41317636,42.75377383,16.02678425,51.75741453
Cuttack,12.1,940,85.5,13125.66,17.46,71.02713024,412,231,0.2476506282,74.17195183,56.17958504,76.70671398,8.725282013,67.47968627,16.18370103,30.14383107,0.6299960949,73.11233236,47.5016585,22.37074259,78.0047831
Debagarh,14.01,975,72.57,1050.65,7.65,66.88780446,54,172,0.2770081287,52.69747744,32.62750875,53.23144909,2.761922298,52.70525166,9.371587412,10.86780786,0.957297443,58.27656049,40.390861,5.936662365,51.27969066
Dhenkanal,11.8,947,78.76,4860.79,17.07,68.02376959,215,187,0.3060617407,67.67384762,44.32916205,60.85854586,4.265008712,56.242543,11.28446021,20.06178936,0.2895882553,59.88832568,36.4731074,14.21471409,59.79724378
Gajapati,11.37,1043,53.49,2221.4,18.71,61.95020768,164,219,0.2362400935,42.02934905,25.04076257,63.33876834,2.182365484,19.49287689,4.592813098,12.02423985,0.2542703239,62.30402609,53.34449642,12.65061308,56.71014675
Ganjam,11.66,983,71.09,13753.48,18.56,65.31948632,580,184,0.2654974467,63.16670761,36.29346125,66.54986488,4.156376472,45.20122348,8.932675319,25.66803273,0.4350598456,64.25283492,43.33428537,19.07372106,65.26849326
Jagatsinghapur,7.5,968,86.59,5944.29,17.83,72.988983,235,204,0.2629313729,66.16744153,35.35862583,49.11097704,3.481562977,63.97850142,16.342124,30.94801842,0.9342448328,65.18437023,57.11866763,22.10512571,44.84153742
Jajapur,12.49,973,80.13,9834.03,51.08,69.09549436,329,196,0.2887651911,68.19648741,39.49791079,54.40771818,3.835309305,59.82202124,12.88693192,23.94092057,0.714559615,62.69320923,40.69869227,19.88522618,61.18490335
Jharsuguda,13.69,953,78.86,5116.33,8.76,67.53541181,88,134,0.2440674552,69.9744898,44.32496075,68.07692308,4.18956044,79.68660356,17.08500669,27.6570568,0.4338783706,66.62087912,49.96772806,9.385159686,53.63422292
Kalahandi,18.07,1003,59.22,5518.65,24.14,63.8978757,303,168,0.2963271784,66.50487182,37.45011326,62.05012045,3.51993672,55.26643165,7.237911836,10.95832637,0.2583547524,60.38902671,25.24661738,8.24347946,58.83579621
Kandhamal,13.1,1037,64.13,4817.42,12.93,68.22740539,226,176,0.2916974791,54.73633691,33.58329834,56.25412442,2.675625412,37.24530853,4.910033154,6.502076158,0.2072939132,67.79050933,51.8318473,6.277400457,56.54208411
Kendrapara,10.63,1007,85.15,4070.8,21.07,72.39278187,282,190,0.2709924022,70.88456713,30.69636136,56.66875784,1.894604768,57.18234794,11.48539964,27.99704622,0.4257300178,61.36135508,59.39993258,15.7866855,57.82308657
Kendujhar,15.35,988,68.24,17455.8,43.67,62.05242173,433,152,0.277390319,45.83516426,41.37767388,54.50231136,3.003884485,59.14261043,11.75057758,12.53802868,0.2610540522,61.68069886,47.40289819,9.300157833,50.75492591
Khordha,19.94,929,86.88,13638.1,21.04,73.37889066,281,180,0.2576345678,63.09123858,63.73998742,69.84848736,13.93692903,69.63378237,18.06848431,34.25546503,0.8130999435,70.21795975,34.42163427,18.30483181,76.55401827
Koraput,16.86,1032,49.21,6313.78,19.46,56.04637624,372,151,0.2328391565,51.3395388,46.86465629,67.74134557,5.979920633,29.80192013,6.520481656,8.104485719,0.2532431346,65.87056306,30.23610161,8.175732395,64.92328512
Malkangiri,21.62,1020,48.54,1676.05,13.02,55.3679067,196,164,0.1863910517,50.09870782,28.36503948,52.54845657,1.695979899,44.70492296,6.487419442,8.345605118,0.2050575586,54.67516152,27.43020917,5.960128577,47.65793252
Mayurbhanj,13.33,1006,63.17,8422.96,24.72,62.79527288,702,143,0.311556969,69.51543699,46.74237478,62.43120978,3.656375338,71.3380473,8.946259298,10.35200564,0.2536878355,71.02882194,48.93586948,15.03201386,64.04719709
Nabarangapur,19.03,1019,46.43,3121.83,19.39,54.36474403,339,157,0.2655234642,51.83150183,33.53628354,52.09385209,2.529452529,61.37433372,6.445173025,5.151877409,0.3207594068,51.44540145,21.89685987,5.815490352,53.37590338
Nayagarh,11.37,915,80.42,2611.38,18.89,69.51282081,216,176,0.29826994,65.96057165,33.90950686,55.21662995,2.067446196,60.91060418,9.6391813,19.06079291,0.3737134551,56.98469186,31.16592033,15.9036879,55.81539852
Nuapada,15.02,1021,57.35,2019.27,17.58,65.85128769,118,172,0.2810381516,59.36954897,32.85571891,54.61001744,2.890605532,67.68649495,7.366328552,11.57970261,0.3455743446,50.22427112,28.64449286,12.72569296,48.41764266
Puri,13.05,963,84.67,5416.74,23.72,72.11524643,307,216,0.2840795109,69.10251524,36.4996189,69.12919207,3.65472561,65.62860802,13.42925281,25.81466363,0.4725522236,64.51219512,43.88111116,15.61630526,73.34794207
Rayagada,16.46,1051,49.76,3793.02,12.92,55.89694835,284,166,0.2828116268,57.27677662,32.80153716,67.667181,3.059768843,31.77830546,5.356052501,10.30973567,0.2619836652,65.44586451,41.35949691,6.62943924,60.54615855
Sambalpur,11.27,976,76.22,6010.76,15.28,65.84258584,211,152,0.2131424989,71.18403916,45.09739377,73.34802708,6.506275851,70.87026006,12.34814873,22.24488427,0.3827713765,69.61686537,44.24445959,8.564020608,59.46959397
Subarnapur,12.61,960,74.42,2001.78,15.79,68.22469177,115,191,0.2629155182,74.11413969,26.70357751,51.7802385,2.282793867,72.41852268,8.810779311,17.78358941,0.3126909902,58.94378194,33.13813835,7.869863695,38.98637138
Sundargarh,14.35,973,73.34,17466.35,23,68.88392465,470,130,0.258460104,73.78469338,51.101636,71.7032443,6.865151879,71.24423192,11.03352405,15.46038447,0.5241953649,73.97542623,48.2282261,8.36685309,65.50442685
