,Score
Cuttack,5.703908308337215
Khordha,5.6599911341426
Anugul,3.5242160952281476
Baleshwar,3.1531464352576557
Jagatsinghapur,2.738795627948414
Sundargarh,2.428627797577686
Puri,2.422852179543828
Jajapur,1.9056337847241192
Jharsuguda,1.7596594873680493
Sambalpur,1.4455864828601765
Ganjam,1.1519377209169213
Kendrapara,0.9846865043896746
Dhenkanal,0.7579358065832627
Mayurbhanj,0.30632428139095275
Bargarh,0.2993900512409372
Nayagarh,0.11911276542599977
Bhadrak,-0.19793905586976976
Kendujhar,-0.9824713765039819
Subarnapur,-1.3433450202285426
Balangir,-1.3756430300937998
Baudh,-1.430193283727368
Debagarh,-1.669603060990017
Kalahandi,-2.0556612174150484
Kandhamal,-2.606775972540942
Koraput,-2.785513206591447
Nuapada,-2.865234972812259
Gajapati,-3.479841907054005
Rayagada,-3.538138806850712
Nabarangapur,-4.717316523015726
Malkangiri,-5.3141270292420515
